provincia,region,N_h
Buenos Aires,esp,118796
Catamarca,pchs,124607
Catamarca,stb,8620
Chaco,pchh,548200
Córdoba,esp,175650
Córdoba,pchs,404481
Corrientes,esp,143716
Corrientes,pchh,229680
Corrientes,smi,60148
Entre Rios,esp,248791
Formosa,pchh,421963
Jujuy,pchs,7837
Jujuy,stb,77387
La Pampa,esp,515751
La Rioja,pchs,308079
Misiones,smi,163978
Salta,pchs,397180
Salta,stb,180502
San Juan,pchs,47748
San Luis,esp,264601
San Luis,pchs,179003
Santa Fe,pchh,399230
Santiago del Estero,pchs,771967
Tucumán,pchs,67022
Tucumán,stb,53834

