"","region","provincia","umsef","n"
"1","esp","Buenos Aires","OT_estable",70
"2","esp","Buenos Aires","OTF_estable",9
"3","esp","Buenos Aires","OTF_perdida_2006-2013",2
"4","esp","Buenos Aires","OTF_perdida_2013-2017",4
"5","esp","Buenos Aires","TF_estable",5
"6","esp","Buenos Aires","TF_perdida_2006-2013",2
"7","esp","Córdoba","OT_estable",124
"8","esp","Córdoba","OTF_estable",3
"9","esp","Córdoba","OTF_perdida_1998-2006",3
"10","esp","Córdoba","OTF_perdida_2006-2013",3
"11","esp","Córdoba","TF_estable",3
"12","esp","Córdoba","TF_perdida_1998-2006",5
"13","esp","Córdoba","TF_perdida_2006-2013",1
"14","esp","Corrientes","OT_estable",98
"15","esp","Corrientes","OTF_estable",10
"16","esp","Corrientes","OTF_perdida_1998-2006",1
"17","esp","Corrientes","OTF_perdida_2006-2013",7
"18","esp","Corrientes","OTF_perdida_2013-2017",5
"19","esp","Corrientes","TF_estable",4
"20","esp","Corrientes","TF_perdida_2006-2013",1
"21","esp","Corrientes","TF_perdida_2013-2017",1
"22","esp","Entre Ríos","OT_estable",126
"23","esp","Entre Ríos","OTF_estable",19
"24","esp","Entre Ríos","OTF_perdida_2006-2013",58
"25","esp","Entre Ríos","OTF_perdida_2013-2017",13
"26","esp","Entre Ríos","TF_estable",66
"27","esp","Entre Ríos","TF_perdida_2006-2013",107
"28","esp","Entre Ríos","TF_perdida_2013-2017",51
"29","esp","La Pampa","OT_estable",224
"30","esp","La Pampa","OTF_estable",118
"31","esp","La Pampa","OTF_perdida_1998-2006",69
"32","esp","La Pampa","OTF_perdida_2006-2013",5
"33","esp","La Pampa","OTF_perdida_2013-2017",23
"34","esp","La Pampa","TF_estable",47
"35","esp","La Pampa","TF_perdida_1998-2006",38
"36","esp","La Pampa","TF_perdida_2006-2013",6
"37","esp","La Pampa","TF_perdida_2013-2017",83
"38","esp","San Luis","OT_estable",131
"39","esp","San Luis","OTF_estable",52
"40","esp","San Luis","OTF_perdida_1998-2006",77
"41","esp","San Luis","OTF_perdida_2006-2013",75
"42","esp","San Luis","OTF_perdida_2013-2017",105
"43","esp","San Luis","TF_estable",24
"44","esp","San Luis","TF_perdida_1998-2006",106
"45","esp","San Luis","TF_perdida_2006-2013",32
"46","esp","San Luis","TF_perdida_2013-2017",15
"47","pchh","Chaco","OT_estable",194
"48","pchh","Chaco","OTF_estable",50
"49","pchh","Chaco","OTF_perdida_1998-2006",50
"50","pchh","Chaco","OTF_perdida_2006-2013",50
"51","pchh","Chaco","OTF_perdida_2013-2017",50
"52","pchh","Chaco","TF_estable",209
"53","pchh","Chaco","TF_perdida_1998-2006",50
"54","pchh","Chaco","TF_perdida_2006-2013",69
"55","pchh","Chaco","TF_perdida_2013-2017",50
"56","pchh","Corrientes","OT_estable",174
"57","pchh","Corrientes","OTF_estable",7
"58","pchh","Corrientes","OTF_perdida_2006-2013",1
"59","pchh","Corrientes","OTF_perdida_2013-2017",1
"60","pchh","Corrientes","TF_estable",3
"61","pchh","Formosa","OT_estable",96
"62","pchh","Formosa","OTF_estable",96
"63","pchh","Formosa","OTF_perdida_1998-2006",50
"64","pchh","Formosa","OTF_perdida_2006-2013",50
"65","pchh","Formosa","OTF_perdida_2013-2017",59
"66","pchh","Formosa","TF_estable",142
"67","pchh","Formosa","TF_perdida_1998-2006",50
"68","pchh","Formosa","TF_perdida_2006-2013",50
"69","pchh","Formosa","TF_perdida_2013-2017",50
"70","pchh","Santa Fe","OT_estable",259
"71","pchh","Santa Fe","OTF_estable",22
"72","pchh","Santa Fe","OTF_perdida_1998-2006",17
"73","pchh","Santa Fe","OTF_perdida_2006-2013",13
"74","pchh","Santa Fe","OTF_perdida_2013-2017",8
"75","pchh","Santa Fe","TF_estable",24
"76","pchh","Santa Fe","TF_perdida_1998-2006",5
